key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,11.342695,space,39.780745,space,12.611885,55,5.5,279.2727273,196.3636364,1536,space,29.705515,space,19.03762,110,space,22.042785,space,12.14126,space,6.779515,space,9.833385,space,12.220425,space,17.472965,space,38.18703,space,24.599115,space,15.043805,return,4.059135,11.52,456.5776104,0,0,0,0,1,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.017365,18.432,451.3429627,1,0,1,0,1,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.6368,71.424,411.2106632,2,0,2,0,1,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.8972,34.56,439.1287846,3,0,3,0,1,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.796285,48.384,428.659489,4,0,4,0,1,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,44,7.680225822,63.36186303,422.4124202,42.24124202,190.0855891,space,5.699115,space,19.253725,space,76.895925,space,21.331235,space,10.632715,space,5.80969,5,FF,106.3282357,27.64462288,1,0,0,response1disk_5,7,6,2.33952,-15.332313,-9.903033929,1,0,0,rectangle_8,56.34678963,105.1702588,1,0,0,response1disk_7,7,7,6.734191232,0.015081454,1,0,0,rectangle_4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,8,PF,-75.72264593,-55.29263421,1,0,0,response5disk_5,9,2,3.117315,-0.026941681,-6.000201839,1,0,0,rectangle_8,-0.026941681,-6.000201839,1,0,0,,,7,-0.026941681,-6.000201839,1,0,0,,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,6,FF,-33.65077031,71.60243604,1,0,0,response7disk_5,6,0,7.308025,-11.7721567,1.502581476,1,0,0,rectangle_8,-11.7721567,1.502581476,1,0,0,,,7,-11.7721567,1.502581476,1,0,0,,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,8,FF,-89.6777731,21.17807005,1,0,0,response7disk_5,8,1,10.06964,-21.81864122,1.002679125,1,0,0,rectangle_8,-21.81864122,1.002679125,1,0,0,,,7,-21.81864122,1.002679125,1,0,0,,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5aabe1b25e033000012be8f0,5ff3eed983f6afa1210c8c2f,2021-01-05_05h45.24.452,Colour_Similarity_Experiment_v2,2020.1.2,Linux x86_64,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,4,PF,85.01339162,-50.25230211,1,0,0,response3disk_5,8,5,3.91346,10.57901551,-0.949957623,1,0,0,rectangle_8,10.57901551,-0.949957623,1,0,0,,,7,10.57901551,-0.949957623,1,0,0,,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
