key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,2.426535,space,9.39209,space,4.917895,45,4.5,341.3333333,192,1536,space,21.060465,space,19.397285,90,space,8.963725,space,3.05464,space,0.856245,space,4.149615,space,5.21247,space,7.871875,space,0.72994,space,4.87136,space,1369.247095,return,5.25862,-154.368,711.5889694,0,0,0,0,1,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.800025,-89.856,651.8752097,1,0,1,0,1,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.78051,-87.552,649.7425754,2,0,2,0,1,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.63062,-66.816,630.548867,3,0,3,0,1,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.621575,-62.208,626.2835984,4,0,4,0,1,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,65,11.34578815,76.58406998,510.5604666,51.05604666,229.7522099,space,2.98454,space,4.059555,space,15.518695,space,19.05397,space,1.004585,space,4.789675,9,PF,-67.99998957,-36.80000699,1,0,0,response5disk_5,4,2,8.2328,-1.59998858,-1.600006461,1,0,0,rectangle_8,-89.59998989,38.39999413,1,0,0,response7disk_7,1,1,-11.19998872,-2.400006473,1,0,0,rectangle_4,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,3,FF,-29.599989,-56.80000728,1,0,0,response5disk_5,6,3,2.955375,13.60006047,-7.200006545,1,0,0,rectangle_8,13.60006047,-7.200006545,1,0,0,,,1,13.60006047,-7.200006545,1,0,0,,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,5,PF,-35.99998909,93.59999496,1,0,0,response7disk_5,5,0,2.33307,9.600060415,-8.800006568,1,0,0,rectangle_8,9.600060415,-8.800006568,1,0,0,,,1,9.600060415,-8.800006568,1,0,0,,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,2,FF,-28.79998899,-64.00000739,1,0,0,response5disk_5,3,3,3.5148,14.40001166,-3.200006485,1,0,0,rectangle_8,14.40001166,-3.200006485,1,0,0,,,1,14.40001166,-3.200006485,1,0,0,,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,5,FF,-73.59998965,-39.20000702,1,0,0,response5disk_5,3,2,6.24237,4.800011516,-0.800006449,1,0,0,rectangle_8,4.800011516,-0.800006449,1,0,0,,,1,4.800011516,-0.800006449,1,0,0,,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,7,PF,-80.79998976,-50.40000719,1,0,0,response5disk_5,6,2,3.89932,12.00001162,-8.000006557,1,0,0,rectangle_8,12.00001162,-8.000006557,1,0,0,,,1,12.00001162,-8.000006557,1,0,0,,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,2,PF,-37.59998912,-80.80000764,1,0,0,response5disk_5,1,3,5.39077,2.40001148,-4.000006497,1,0,0,rectangle_8,2.40001148,-4.000006497,1,0,0,,,1,2.40001148,-4.000006497,1,0,0,,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,5,2.40314,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.139245,9,92.00001281,-36.00000697,1,0,0,response3disk,7,1,8.800011575,-2.400006473,1,0,0,rectangle,8.800011575,-2.400006473,1,0,0,,0,0,0.000915,8.800011575,-2.400006473,1,0,0,0,0,0,121,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,6,2.13759,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,95.20001286,37.59999412,1,0,0,response1disk,5,2,27.20001185,-5.600006521,1,0,0,rectangle,27.20001185,-5.600006521,1,0,0,,5,0,0.00048,27.20001185,-5.600006521,1,0,0,0,1,1,152,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,1.539065,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18.40001172,-64.00000739,1,0,0,response3disk,7,3,-7.199988663,-5.600006521,1,0,0,rectangle,-7.199988663,-5.600006521,1,0,0,,2,0,0.00064,-7.199988663,-5.600006521,1,0,0,0,2,2,100,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,1.050995,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-30.39994018,75.19997027,1,0,0,response7disk,5,4,1.600060296,-4.000006497,1,0,0,rectangle,1.600060296,-4.000006497,1,0,0,,6,0,0.0005,1.600060296,-4.000006497,1,0,0,0,3,3,94,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,2,4.4824,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-86.39994102,-46.40000713,1,0,0,response5disk,5,5,-17.59998882,-4.800006509,1,0,0,rectangle,-17.59998882,-4.800006509,1,0,0,,2,0,0.000735,-17.59998882,-4.800006509,1,0,0,0,4,4,126,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,2.61006,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47.20001215,80.79999477,1,0,0,response1disk,2,6,2.40001148,11.99999374,1,0,0,rectangle,2.40001148,11.99999374,1,0,0,,1,0,0.00056,2.40001148,11.99999374,1,0,0,0,5,5,83,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,6,1.476565,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,68.80001247,36.79999411,1,0,0,response1disk,3,7,-4.799988627,-4.000006497,1,0,0,rectangle,-4.799988627,-4.000006497,1,0,0,,4,0,0.000485,-4.799988627,-4.000006497,1,0,0,0,6,6,99,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,5,4.33769,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,100.0000129,-43.20000708,1,0,0,response3disk,8,8,14.40001166,-4.000006497,1,0,0,rectangle,14.40001166,-4.000006497,1,0,0,,3,0,0.00047,14.40001166,-4.000006497,1,0,0,0,7,7,124,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,1.79287,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-29.599989,-60.80000734,1,0,0,response5disk,7,9,-0.799988568,-9.60000658,1,0,0,rectangle,-0.799988568,-9.60000658,1,0,0,,0,0,0.000455,-0.799988568,-9.60000658,1,0,0,0,8,8,7,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,3.118375,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36.80001199,-71.2000075,1,0,0,response3disk,5,10,-7.199988663,-15.20000666,1,0,0,rectangle,-7.199988663,-15.20000666,1,0,0,,0,0,0.000525,-7.199988663,-15.20000666,1,0,0,0,9,9,80,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,0,2.472535,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-46.39994042,88.79999489,1,0,0,response7disk,4,11,15.20001167,13.59999377,1,0,0,rectangle,15.20001167,13.59999377,1,0,0,,4,0,0.00045,15.20001167,13.59999377,1,0,0,0,10,10,84,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,1.31626,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-40.79998916,-68.80000746,1,0,0,response5disk,2,12,-11.19998872,-6.400006533,1,0,0,rectangle,-11.19998872,-6.400006533,1,0,0,,5,0,0.00052,-11.19998872,-6.400006533,1,0,0,0,11,11,129,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.526665,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,58.40001231,87.19997045,1,0,0,response1disk,7,13,2.40001148,11.99999374,1,0,0,rectangle,2.40001148,11.99999374,1,0,0,,7,0,0.00047,2.40001148,11.99999374,1,0,0,0,12,12,150,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,5,2.73328,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78.40001261,-50.40000719,1,0,0,response3disk,7,14,22.40001178,-0.800006449,1,0,0,rectangle,22.40001178,-0.800006449,1,0,0,,1,0,0.000455,22.40001178,-0.800006449,1,0,0,0,13,13,107,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,4.31754,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-53.59998935,107.1999707,1,0,0,response7disk,7,15,-7.999988675,2.399993598,1,0,0,rectangle,-7.999988675,2.399993598,1,0,0,,0,0,0.000435,-7.999988675,2.399993598,1,0,0,0,14,14,51,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,5,4.40353,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,63.20001239,-44.00000709,1,0,0,response3disk,2,16,8.800011575,-7.200006545,1,0,0,rectangle,8.800011575,-7.200006545,1,0,0,,0,0,0.00052,8.800011575,-7.200006545,1,0,0,0,15,15,138,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,5.860295,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-52.79998934,111.9999952,1,0,0,response7disk,3,17,-15.19998878,1.599993587,1,0,0,rectangle,-15.19998878,1.599993587,1,0,0,,0,0,0.000505,-15.19998878,1.599993587,1,0,0,0,16,16,4,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee4015a014f5a0ffa6b63a8,5ff3d9343ce806a697b3a44e,2021-01-05_00h13.17.791,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.46573,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,41.60006089,82.39999479,1,0,0,response1disk,1,18,10.4000116,-5.600006521,1,0,0,rectangle,10.4000116,-5.600006521,1,0,0,,1,0,0.00046,10.4000116,-5.600006521,1,0,0,0,17,17,53,1,,,,,,,,,,,,,,,,,,,,,
