key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,3.97635,space,2.073575,space,0.11489,34.8,3.48,588.5057471,248.2758621,2048,space,6.169315,space,5.831385,69.6,space,2.603295,space,3.74769,space,1.79274,space,3.994175,space,7.34504,space,19.097655,space,8.75769,space,2.155205,space,6.098165,return,12.45352,-1526.784,2807.968461,0,0,0,0,1,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.152035,-156.672,1168.046243,1,0,1,0,1,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.51305,-67.584,1061.414529,2,0,2,0,1,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.71408,-104.448,1105.537997,3,0,3,0,1,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.59755,-448.512,1517.357029,4,0,4,0,1,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,117,20.42241866,106.6050254,710.7001694,71.07001694,319.8150763,space,3.321685,space,3.298525,space,7.000325,space,1.374355,space,2.34708,space,4.28127,6,FF,51.20012118,-64.00009848,1,0,0,response3disk_5,2,4,21.53134,5.3458E-05,-9.600095646,1,0,0,rectangle_8,5.3458E-05,-9.600095646,1,0,0,4,5.3458E-05,-9.600095646,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,2,PF,-131.1998232,-60.80009832,1,0,0,response5disk_5,1,2,8.799535,-2.133280039,-16.00009598,1,0,0,rectangle_8,-2.133280039,-16.00009598,1,0,0,4,-2.133280039,-16.00009598,1,0,0,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,5,PF,-62.93321811,-103.4667021,1,0,0,response5disk_5,7,3,5.00422,22.40005457,1.066636682,1,0,0,rectangle_8,52.2667879,-117.3334346,1,0,0,4,2.133451955,-1.066761867,1,0,0,0,2,2,1,1,response3disk_7,4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,9,PF,104.5335224,58.66660713,1,0,0,response1disk_5,9,6,3.74088,18.13345279,3.199905022,1,0,0,rectangle_8,18.13345279,3.199905022,1,0,0,4,18.13345279,3.199905022,1,0,0,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,5,FF,68.26672363,104.5332762,1,0,0,response1disk_5,8,7,2.093825,3.200118677,-5.333428756,1,0,0,rectangle_8,74.66685417,-139.7334358,1,0,0,4,-4.266548379,-3.200030208,1,0,0,0,4,4,5,1,response3disk_7,4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,9,PF,60.80025189,156.7999781,1,0,0,response1disk_5,3,7,6.918845,-14.9332156,5.333303571,1,0,0,rectangle_8,-14.9332156,5.333303571,1,0,0,4,-14.9332156,5.333303571,1,0,0,0,5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,7,FF,54.40005624,133.3332777,1,0,0,response1disk_5,9,7,3.21462,-9.599947095,-1.066761867,1,0,0,rectangle_8,-9.599947095,-1.066761867,1,0,0,4,-9.599947095,-1.066761867,1,0,0,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,5.408895,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.91126,6,55.46685317,148.2665793,1,0,0,response1disk,9,1,8.533517392,9.59997046,1,0,0,rectangle,8.533517392,9.59997046,1,0,0,,4,0,0.00106,8.533517392,9.59997046,1,0,0,0,0,0,45,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.236065,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,38.40005541,155.7332789,1,0,0,response1disk,1,2,-8.533150164,3.199905022,1,0,0,rectangle,69.33339036,-106.6667023,1,0,0,4,4,1,2.23252,8.533517392,-3.0047E-05,1,0,0,0,1,1,159,1,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.811765,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,60.80025189,126.9332774,1,0,0,response1disk,1,3,-8.533150164,-5.333428756,1,0,0,rectangle,-8.533150164,-5.333428756,1,0,0,4,1,0,0.000535,-8.533150164,-5.333428756,1,0,0,0,2,2,131,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.6715,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,58.66678824,164.2665801,1,0,0,response1disk,5,4,3.200118677,-1.066761867,1,0,0,rectangle,3.200118677,-1.066761867,1,0,0,4,6,0,0.00063,3.200118677,-1.066761867,1,0,0,0,3,3,126,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,0,1.395855,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-65.06655155,130.1332775,1,0,0,response7disk,9,5,-5.333215102,-6.400030375,1,0,0,rectangle,-5.333215102,-6.400030375,1,0,0,4,0,0,0.00073,-5.333215102,-6.400030375,1,0,0,0,4,4,17,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.238185,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43.73345412,138.6666439,1,0,0,response1disk,3,6,14.93338752,3.199905022,1,0,0,rectangle,14.93338752,3.199905022,1,0,0,4,1,0,0.00071,14.93338752,3.199905022,1,0,0,0,5,5,99,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.235545,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,36.26678707,138.6666439,1,0,0,response1disk,2,7,12.80024939,5.333303571,1,0,0,rectangle,12.80024939,5.333303571,1,0,0,4,4,0,0.00058,12.80024939,5.333303571,1,0,0,0,6,6,130,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.100945,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,62.93339002,146.1332784,1,0,0,response1disk,4,8,3.200118677,5.333303571,1,0,0,rectangle,3.200118677,5.333303571,1,0,0,4,4,0,0.0006,3.200118677,5.333303571,1,0,0,0,7,7,139,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,2.39007,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56.5335199,149.3332785,1,0,0,response1disk,9,9,5.333452121,2.133303404,1,0,0,rectangle,5.333452121,2.133303404,1,0,0,4,7,0,0.00055,5.333452121,2.133303404,1,0,0,0,8,8,79,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.112445,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,65.06685367,155.7332789,1,0,0,response1disk,2,10,8.533517392,5.333303571,1,0,0,rectangle,8.533517392,5.333303571,1,0,0,4,0,0,0.00062,8.533517392,5.333303571,1,0,0,0,9,9,108,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.13087,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,55.46685317,155.7332789,1,0,0,response1disk,2,11,-13.86654888,10.66657208,1,0,0,rectangle,-13.86654888,10.66657208,1,0,0,4,1,0,0.000565,-13.86654888,10.66657208,1,0,0,0,10,10,83,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,5,1.511545,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,120.5335232,-42.66669893,1,0,0,response3disk,7,12,-9.599947095,3.199905022,1,0,0,rectangle,-9.599947095,3.199905022,1,0,0,4,0,0,0.000545,-9.599947095,3.199905022,1,0,0,0,11,11,86,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,5.27005,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60.80025189,156.7999781,1,0,0,response1disk,5,13,2.133451955,12.79997063,1,0,0,rectangle,2.133451955,12.79997063,1,0,0,4,1,0,0.000555,2.133451955,12.79997063,1,0,0,0,12,12,80,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3e3bbcf00895000b2741be,5ff3db09e6b281a614b33ff5,2021-01-05_03h20.58.530,Colour_Similarity_Experiment_v2,2020.1.2,Win32,60,5ff3d7c2197628a3dea6b49f,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,2.236915,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-47.99988399,-115.200036,1,0,0,response5disk,3,14,5.3458E-05,11.7332388,1,0,0,rectangle,5.3458E-05,11.7332388,1,0,0,4,6,0,0.000525,5.3458E-05,11.7332388,1,0,0,0,13,13,109,1,,,,,,,,,,,,,,,,,,,,,
